# The firmware's text, in every language it speaks.
#
# Typed once, here, and turned into tables by scripts/gen-strings.py — the same
# habit as the key table and the fonts. The identifiers come from these keys, so
# a key renamed or removed breaks the build instead of leaving an empty label on
# the screen.
#
# Columns are tab-separated: key, then one column per language. The heading row
# names them, and its names become LangEN, LangFR and so on.
#
# English first because the code is English and because a label written in the
# language the layout was tuned to is the one that never overflows. French is
# the longer of the two almost everywhere, which is exactly why both are
# measured (tests/host/check_geometry.cpp).
key	en	fr
choose_system	Choose a system	Choisissez un système
start	Start	Démarrer
settings	Settings	Réglages
back	Back	Retour
save	Save	Enregistrer
save_restart	Save and restart	Enregistrer et redémarrer
restart_required	* Okapia restart required after changing this	* Redémarrage d’Okapia requis après modification
restarting	Restarting Okapia…	Redémarrage d’Okapia…
shut_down	Shut down	Éteindre
forget_pram	Forget the parameter RAM	Oublier la PRAM
rescue_disk	Rescue disk	Disque de secours
read_only	Read-only	Lecture seule
new_volume	+ New volume…	+ Nouveau volume…
new_volume_title	New volume	Nouveau volume
untitled	Untitled	Sans titre
create	Create	Créer
size	Size	Taille
free_on_card	free on the card	libres sur la carte
card_full	Not enough room on the card	Pas assez de place sur la carte
mount_as	Mount as	Monter comme
mount_hd	Hard disk	Disque dur
mount_hd_read_only	Hard disk, read-only	Disque dur, lecture seule
mount_cd	CD-ROM	CD-ROM
no_system	No system	Aucun système
cpu_68k	68k	68k
cpu_powerpc	PowerPC	PowerPC
cpu_universal	universal	universel
emulator	Emulator	Émulateur
emulator_68k	68k (Basilisk II)	68k (Basilisk II)
emulator_powerpc	PowerPC (SheepShaver)	PowerPC (SheepShaver)
volume_name	Volume name	Nom du volume
shared_folder	Shared folder	Dossier partagé
screen_refresh	Screen refresh	Rafraîchissement
dynamic	Dynamic	Dynamique
mouse_dpi	Mouse	Souris
sound	Sound	Son
sound_off	Off	Coupé
language	Language	Langue
boot_menu	Always show this menu at startup	Toujours afficher ce menu au démarrage
repair_title	Repair the volume?	Réparer le volume ?
repair_body	This volume was not unmounted properly. Okapia can repair it before starting, which takes a few seconds and does not touch your files.	Ce volume n’a pas été démonté proprement. Okapia peut le réparer avant de démarrer, ce qui prend quelques secondes et ne touche pas à vos fichiers.
repair_now	Repair	Réparer
repair_skip	Start without repairing	Démarrer sans réparer
startup_disk	Startup disk	Disque de démarrage
mounted	Mounted	Monté
volume_in_use	in use	en cours d’utilisation
volume_clean	ready	prête
mb_free	MB free	Mo libres
no_volume	No volume on the card	Aucun volume sur la carte
not_mounted	not mounted	non montée
language_name	English	Français
memory	Memory	Mémoire vive
cancel	Cancel	Annuler
information	Information	Informations
sound_hdmi	HDMI	HDMI
sound_jack	Headphone jack	Prise casque
sound_usb	USB	USB
unit_hz	Hz	Hz
unit_mb	MB	Mo
settings_title	Settings	Réglages
info_version	Okapia	Okapia
info_machine	Board	Carte mère
info_display	Display	Écran
info_rom	ROM	ROM
info_model	Macintosh model	Modèle de Macintosh
info_model_auto	from the system installed	d’après le système installé
info_model_pref	from the preferences	d’après les préférences
info_card	SD card	Carte SD
info_startup	Startup volume	Volume de démarrage
info_none	none	aucun
info_credits	Components and licences	Composants et licences
info_author	Author	Auteur
shut_down_title	Shut down?	Éteindre ?
shut_down_body	The Macintosh has not started, so nothing is open and nothing can be lost. Okapia will stop, and the screen will go dark before you switch the power off.	Le Macintosh n’a pas démarré : rien n’est ouvert, rien ne peut être perdu. Okapia va s’arrêter, et l’écran s’éteindra avant que vous coupiez l’alimentation.
forget_pram_title	Forget the parameter RAM?	Oublier la PRAM ?
forget_pram_body	The parameter RAM holds what the Macintosh remembers about itself — its startup disk, its sound level, the depth of its screen. Forgetting it restores the factory values and touches none of your files.	La PRAM contient ce que le Macintosh retient de lui-même : son disque de démarrage, son niveau sonore, la profondeur de son écran. L’oublier rétablit les valeurs d’usine et ne touche à aucun de vos fichiers.
spec_title	Specimen — the component system	Échantillon — le système de composants
spec_buttons	Buttons	Boutons
spec_choices	Tick boxes and radio buttons	Cases et boutons radio
spec_list	List, scroller, field	Liste, ascenseur, saisie
spec_alert	Alert	Alerte
spec_progress	Progress	Progression
spec_typography	Typography	Typographie
spec_states	One label, all its states	Un même libellé, tous ses états
spec_normal	Normal	Normal
spec_default	Default	Défaut
spec_focus	Focus	Focus
spec_pressed	Pressed	Enfoncé
spec_disabled	Disabled	Inactif
spec_unchecked	Unticked	Décochée
spec_checked	Ticked	Cochée
spec_inactive	Inactive	Inactive
spec_other	Other	Autre
